,human_count,human_weight,human_panic,Run,Total_steps
0,16,1.193359375,0.36298828125,0,27
1,30,1.193359375,0.36298828125,1,27
2,16,1.560546875,0.36298828125,2,21
3,16,1.193359375,0.63505859375,3,252
4,16,1.560546875,0.63505859375,4,98
5,30,1.193359375,0.63505859375,5,86
6,30,1.560546875,0.36298828125,6,28
7,30,1.560546875,0.63505859375,7,454
8,31,2.193359375,0.012988281249999999,8,17
9,15,2.193359375,0.012988281249999999,9,12
10,31,2.560546875,0.012988281249999999,10,14
11,31,2.193359375,0.28505859375,11,26
12,31,2.560546875,0.28505859375,12,21
13,15,2.193359375,0.28505859375,13,19
14,15,2.560546875,0.012988281249999999,14,11
15,15,2.560546875,0.28505859375,15,20
16,39,1.693359375,0.53798828125,16,96
17,37,1.693359375,0.53798828125,17,99
18,39,2.060546875,0.53798828125,18,56
19,39,1.693359375,0.11005859374999999,19,23
20,39,2.060546875,0.11005859374999999,20,20
21,37,1.693359375,0.11005859374999999,21,24
22,37,2.060546875,0.53798828125,22,62
23,37,2.060546875,0.11005859374999999,23,21
24,24,2.693359375,0.18798828125,24,17
25,22,2.693359375,0.18798828125,25,19
26,24,1.060546875,0.18798828125,26,20
27,24,2.693359375,0.46005859374999997,27,47
28,24,1.060546875,0.46005859374999997,28,34
29,22,2.693359375,0.46005859374999997,29,56
30,22,1.060546875,0.18798828125,30,20
31,22,1.060546875,0.46005859374999997,31,44
32,20,1.943359375,0.10048828124999999,32,15
33,19,1.943359375,0.10048828124999999,33,13
34,20,1.310546875,0.10048828124999999,34,18
35,20,1.943359375,0.5475585937499999,35,38
36,20,1.310546875,0.5475585937499999,36,96
37,19,1.943359375,0.5475585937499999,37,24
38,19,1.310546875,0.10048828124999999,38,16
39,19,1.310546875,0.5475585937499999,39,53
40,16,1.193359375,0.36298828125,40,21
41,30,1.193359375,0.36298828125,41,26
42,16,1.560546875,0.36298828125,42,21
43,16,1.193359375,0.63505859375,43,140
44,16,1.560546875,0.63505859375,44,142
45,30,1.193359375,0.63505859375,45,234
46,30,1.560546875,0.36298828125,46,27
47,30,1.560546875,0.63505859375,47,95
48,31,2.193359375,0.012988281249999999,48,20
49,15,2.193359375,0.012988281249999999,49,11
50,31,2.560546875,0.012988281249999999,50,15
51,31,2.193359375,0.28505859375,51,25
52,31,2.560546875,0.28505859375,52,27
53,15,2.193359375,0.28505859375,53,17
54,15,2.560546875,0.012988281249999999,54,13
55,15,2.560546875,0.28505859375,55,20
56,39,1.693359375,0.53798828125,56,84
57,37,1.693359375,0.53798828125,57,124
58,39,2.060546875,0.53798828125,58,68
59,39,1.693359375,0.11005859374999999,59,21
60,39,2.060546875,0.11005859374999999,60,21
61,37,1.693359375,0.11005859374999999,61,21
62,37,2.060546875,0.53798828125,62,61
63,37,2.060546875,0.11005859374999999,63,17
64,24,2.693359375,0.18798828125,64,20
65,22,2.693359375,0.18798828125,65,14
66,24,1.060546875,0.18798828125,66,22
67,24,2.693359375,0.46005859374999997,67,38
68,24,1.060546875,0.46005859374999997,68,60
69,22,2.693359375,0.46005859374999997,69,29
70,22,1.060546875,0.18798828125,70,21
71,22,1.060546875,0.46005859374999997,71,30
72,20,1.943359375,0.10048828124999999,72,17
73,19,1.943359375,0.10048828124999999,73,13
74,20,1.310546875,0.10048828124999999,74,16
75,20,1.943359375,0.5475585937499999,75,95
76,20,1.310546875,0.5475585937499999,76,69
77,19,1.943359375,0.5475585937499999,77,112
78,19,1.310546875,0.10048828124999999,78,14
79,19,1.310546875,0.5475585937499999,79,76
80,16,1.193359375,0.36298828125,80,18
81,30,1.193359375,0.36298828125,81,29
82,16,1.560546875,0.36298828125,82,25
83,16,1.193359375,0.63505859375,83,452
84,16,1.560546875,0.63505859375,84,245
85,30,1.193359375,0.63505859375,85,248
86,30,1.560546875,0.36298828125,86,25
87,30,1.560546875,0.63505859375,87,824
88,31,2.193359375,0.012988281249999999,88,18
89,15,2.193359375,0.012988281249999999,89,11
90,31,2.560546875,0.012988281249999999,90,17
91,31,2.193359375,0.28505859375,91,25
92,31,2.560546875,0.28505859375,92,27
93,15,2.193359375,0.28505859375,93,17
94,15,2.560546875,0.012988281249999999,94,12
95,15,2.560546875,0.28505859375,95,17
96,39,1.693359375,0.53798828125,96,42
97,37,1.693359375,0.53798828125,97,105
98,39,2.060546875,0.53798828125,98,93
99,39,1.693359375,0.11005859374999999,99,25
100,39,2.060546875,0.11005859374999999,100,22
101,37,1.693359375,0.11005859374999999,101,22
102,37,2.060546875,0.53798828125,102,67
103,37,2.060546875,0.11005859374999999,103,18
104,24,2.693359375,0.18798828125,104,18
105,22,2.693359375,0.18798828125,105,17
106,24,1.060546875,0.18798828125,106,21
107,24,2.693359375,0.46005859374999997,107,54
108,24,1.060546875,0.46005859374999997,108,27
109,22,2.693359375,0.46005859374999997,109,44
110,22,1.060546875,0.18798828125,110,23
111,22,1.060546875,0.46005859374999997,111,41
112,20,1.943359375,0.10048828124999999,112,16
113,19,1.943359375,0.10048828124999999,113,16
114,20,1.310546875,0.10048828124999999,114,16
115,20,1.943359375,0.5475585937499999,115,42
116,20,1.310546875,0.5475585937499999,116,46
117,19,1.943359375,0.5475585937499999,117,49
118,19,1.310546875,0.10048828124999999,118,16
119,19,1.310546875,0.5475585937499999,119,58
120,16,1.193359375,0.36298828125,120,23
121,30,1.193359375,0.36298828125,121,31
122,16,1.560546875,0.36298828125,122,18
123,16,1.193359375,0.63505859375,123,348
124,16,1.560546875,0.63505859375,124,103
125,30,1.193359375,0.63505859375,125,211
126,30,1.560546875,0.36298828125,126,33
127,30,1.560546875,0.63505859375,127,194
128,31,2.193359375,0.012988281249999999,128,17
129,15,2.193359375,0.012988281249999999,129,10
130,31,2.560546875,0.012988281249999999,130,16
131,31,2.193359375,0.28505859375,131,26
132,31,2.560546875,0.28505859375,132,26
133,15,2.193359375,0.28505859375,133,22
134,15,2.560546875,0.012988281249999999,134,11
135,15,2.560546875,0.28505859375,135,19
136,39,1.693359375,0.53798828125,136,89
137,37,1.693359375,0.53798828125,137,119
138,39,2.060546875,0.53798828125,138,114
139,39,1.693359375,0.11005859374999999,139,25
140,39,2.060546875,0.11005859374999999,140,22
141,37,1.693359375,0.11005859374999999,141,24
142,37,2.060546875,0.53798828125,142,138
143,37,2.060546875,0.11005859374999999,143,21
144,24,2.693359375,0.18798828125,144,18
145,22,2.693359375,0.18798828125,145,23
146,24,1.060546875,0.18798828125,146,27
147,24,2.693359375,0.46005859374999997,147,27
148,24,1.060546875,0.46005859374999997,148,28
149,22,2.693359375,0.46005859374999997,149,25
150,22,1.060546875,0.18798828125,150,21
151,22,1.060546875,0.46005859374999997,151,48
152,20,1.943359375,0.10048828124999999,152,18
153,19,1.943359375,0.10048828124999999,153,14
154,20,1.310546875,0.10048828124999999,154,16
155,20,1.943359375,0.5475585937499999,155,24
156,20,1.310546875,0.5475585937499999,156,70
157,19,1.943359375,0.5475585937499999,157,111
158,19,1.310546875,0.10048828124999999,158,20
159,19,1.310546875,0.5475585937499999,159,118
160,16,1.193359375,0.36298828125,160,22
161,30,1.193359375,0.36298828125,161,31
162,16,1.560546875,0.36298828125,162,27
163,16,1.193359375,0.63505859375,163,64
164,16,1.560546875,0.63505859375,164,48
165,30,1.193359375,0.63505859375,165,133
166,30,1.560546875,0.36298828125,166,29
167,30,1.560546875,0.63505859375,167,304
168,31,2.193359375,0.012988281249999999,168,15
169,15,2.193359375,0.012988281249999999,169,14
170,31,2.560546875,0.012988281249999999,170,14
171,31,2.193359375,0.28505859375,171,21
172,31,2.560546875,0.28505859375,172,25
173,15,2.193359375,0.28505859375,173,22
174,15,2.560546875,0.012988281249999999,174,11
175,15,2.560546875,0.28505859375,175,17
176,39,1.693359375,0.53798828125,176,80
177,37,1.693359375,0.53798828125,177,42
178,39,2.060546875,0.53798828125,178,98
179,39,1.693359375,0.11005859374999999,179,24
180,39,2.060546875,0.11005859374999999,180,21
181,37,1.693359375,0.11005859374999999,181,22
182,37,2.060546875,0.53798828125,182,51
183,37,2.060546875,0.11005859374999999,183,22
184,24,2.693359375,0.18798828125,184,15
185,22,2.693359375,0.18798828125,185,14
186,24,1.060546875,0.18798828125,186,22
187,24,2.693359375,0.46005859374999997,187,32
188,24,1.060546875,0.46005859374999997,188,37
189,22,2.693359375,0.46005859374999997,189,25
190,22,1.060546875,0.18798828125,190,22
191,22,1.060546875,0.46005859374999997,191,33
192,20,1.943359375,0.10048828124999999,192,16
193,19,1.943359375,0.10048828124999999,193,16
194,20,1.310546875,0.10048828124999999,194,17
195,20,1.943359375,0.5475585937499999,195,62
196,20,1.310546875,0.5475585937499999,196,45
197,19,1.943359375,0.5475585937499999,197,42
198,19,1.310546875,0.10048828124999999,198,19
199,19,1.310546875,0.5475585937499999,199,31
200,16,1.193359375,0.36298828125,200,35
201,30,1.193359375,0.36298828125,201,36
202,16,1.560546875,0.36298828125,202,29
203,16,1.193359375,0.63505859375,203,550
204,16,1.560546875,0.63505859375,204,68
205,30,1.193359375,0.63505859375,205,321
206,30,1.560546875,0.36298828125,206,29
207,30,1.560546875,0.63505859375,207,391
208,31,2.193359375,0.012988281249999999,208,18
209,15,2.193359375,0.012988281249999999,209,12
210,31,2.560546875,0.012988281249999999,210,17
211,31,2.193359375,0.28505859375,211,24
212,31,2.560546875,0.28505859375,212,23
213,15,2.193359375,0.28505859375,213,16
214,15,2.560546875,0.012988281249999999,214,13
215,15,2.560546875,0.28505859375,215,18
216,39,1.693359375,0.53798828125,216,99
217,37,1.693359375,0.53798828125,217,95
218,39,2.060546875,0.53798828125,218,218
219,39,1.693359375,0.11005859374999999,219,24
220,39,2.060546875,0.11005859374999999,220,21
221,37,1.693359375,0.11005859374999999,221,17
222,37,2.060546875,0.53798828125,222,50
223,37,2.060546875,0.11005859374999999,223,19
224,24,2.693359375,0.18798828125,224,17
225,22,2.693359375,0.18798828125,225,19
226,24,1.060546875,0.18798828125,226,24
227,24,2.693359375,0.46005859374999997,227,28
228,24,1.060546875,0.46005859374999997,228,43
229,22,2.693359375,0.46005859374999997,229,52
230,22,1.060546875,0.18798828125,230,20
231,22,1.060546875,0.46005859374999997,231,41
232,20,1.943359375,0.10048828124999999,232,16
233,19,1.943359375,0.10048828124999999,233,14
234,20,1.310546875,0.10048828124999999,234,17
235,20,1.943359375,0.5475585937499999,235,57
236,20,1.310546875,0.5475585937499999,236,49
237,19,1.943359375,0.5475585937499999,237,123
238,19,1.310546875,0.10048828124999999,238,15
239,19,1.310546875,0.5475585937499999,239,51
240,16,1.193359375,0.36298828125,240,25
241,30,1.193359375,0.36298828125,241,27
242,16,1.560546875,0.36298828125,242,21
243,16,1.193359375,0.63505859375,243,83
244,16,1.560546875,0.63505859375,244,275
245,30,1.193359375,0.63505859375,245,573
246,30,1.560546875,0.36298828125,246,32
247,30,1.560546875,0.63505859375,247,92
248,31,2.193359375,0.012988281249999999,248,15
249,15,2.193359375,0.012988281249999999,249,11
250,31,2.560546875,0.012988281249999999,250,16
251,31,2.193359375,0.28505859375,251,24
252,31,2.560546875,0.28505859375,252,29
253,15,2.193359375,0.28505859375,253,22
254,15,2.560546875,0.012988281249999999,254,12
255,15,2.560546875,0.28505859375,255,15
256,39,1.693359375,0.53798828125,256,108
257,37,1.693359375,0.53798828125,257,101
258,39,2.060546875,0.53798828125,258,76
259,39,1.693359375,0.11005859374999999,259,22
260,39,2.060546875,0.11005859374999999,260,22
261,37,1.693359375,0.11005859374999999,261,25
262,37,2.060546875,0.53798828125,262,78
263,37,2.060546875,0.11005859374999999,263,21
264,24,2.693359375,0.18798828125,264,16
265,22,2.693359375,0.18798828125,265,20
266,24,1.060546875,0.18798828125,266,21
267,24,2.693359375,0.46005859374999997,267,30
268,24,1.060546875,0.46005859374999997,268,48
269,22,2.693359375,0.46005859374999997,269,26
270,22,1.060546875,0.18798828125,270,21
271,22,1.060546875,0.46005859374999997,271,26
272,20,1.943359375,0.10048828124999999,272,16
273,19,1.943359375,0.10048828124999999,273,15
274,20,1.310546875,0.10048828124999999,274,15
275,20,1.943359375,0.5475585937499999,275,59
276,20,1.310546875,0.5475585937499999,276,160
277,19,1.943359375,0.5475585937499999,277,45
278,19,1.310546875,0.10048828124999999,278,17
279,19,1.310546875,0.5475585937499999,279,117
280,16,1.193359375,0.36298828125,280,21
281,30,1.193359375,0.36298828125,281,31
282,16,1.560546875,0.36298828125,282,21
283,16,1.193359375,0.63505859375,283,77
284,16,1.560546875,0.63505859375,284,243
285,30,1.193359375,0.63505859375,285,116
286,30,1.560546875,0.36298828125,286,29
287,30,1.560546875,0.63505859375,287,435
288,31,2.193359375,0.012988281249999999,288,16
289,15,2.193359375,0.012988281249999999,289,10
290,31,2.560546875,0.012988281249999999,290,13
291,31,2.193359375,0.28505859375,291,23
292,31,2.560546875,0.28505859375,292,23
293,15,2.193359375,0.28505859375,293,18
294,15,2.560546875,0.012988281249999999,294,11
295,15,2.560546875,0.28505859375,295,19
296,39,1.693359375,0.53798828125,296,71
297,37,1.693359375,0.53798828125,297,113
298,39,2.060546875,0.53798828125,298,64
299,39,1.693359375,0.11005859374999999,299,25
300,39,2.060546875,0.11005859374999999,300,27
301,37,1.693359375,0.11005859374999999,301,21
302,37,2.060546875,0.53798828125,302,54
303,37,2.060546875,0.11005859374999999,303,20
304,24,2.693359375,0.18798828125,304,22
305,22,2.693359375,0.18798828125,305,18
306,24,1.060546875,0.18798828125,306,20
307,24,2.693359375,0.46005859374999997,307,35
308,24,1.060546875,0.46005859374999997,308,47
309,22,2.693359375,0.46005859374999997,309,40
310,22,1.060546875,0.18798828125,310,19
311,22,1.060546875,0.46005859374999997,311,62
312,20,1.943359375,0.10048828124999999,312,17
313,19,1.943359375,0.10048828124999999,313,13
314,20,1.310546875,0.10048828124999999,314,19
315,20,1.943359375,0.5475585937499999,315,116
316,20,1.310546875,0.5475585937499999,316,38
317,19,1.943359375,0.5475585937499999,317,99
318,19,1.310546875,0.10048828124999999,318,18
319,19,1.310546875,0.5475585937499999,319,85
320,16,1.193359375,0.36298828125,320,21
321,30,1.193359375,0.36298828125,321,33
322,16,1.560546875,0.36298828125,322,25
323,16,1.193359375,0.63505859375,323,103
324,16,1.560546875,0.63505859375,324,455
325,30,1.193359375,0.63505859375,325,513
326,30,1.560546875,0.36298828125,326,39
327,30,1.560546875,0.63505859375,327,151
328,31,2.193359375,0.012988281249999999,328,15
329,15,2.193359375,0.012988281249999999,329,12
330,31,2.560546875,0.012988281249999999,330,14
331,31,2.193359375,0.28505859375,331,24
332,31,2.560546875,0.28505859375,332,26
333,15,2.193359375,0.28505859375,333,17
334,15,2.560546875,0.012988281249999999,334,12
335,15,2.560546875,0.28505859375,335,20
336,39,1.693359375,0.53798828125,336,40
337,37,1.693359375,0.53798828125,337,108
338,39,2.060546875,0.53798828125,338,59
339,39,1.693359375,0.11005859374999999,339,25
340,39,2.060546875,0.11005859374999999,340,21
341,37,1.693359375,0.11005859374999999,341,20
342,37,2.060546875,0.53798828125,342,117
343,37,2.060546875,0.11005859374999999,343,21
344,24,2.693359375,0.18798828125,344,17
345,22,2.693359375,0.18798828125,345,16
346,24,1.060546875,0.18798828125,346,22
347,24,2.693359375,0.46005859374999997,347,54
348,24,1.060546875,0.46005859374999997,348,47
349,22,2.693359375,0.46005859374999997,349,28
350,22,1.060546875,0.18798828125,350,21
351,22,1.060546875,0.46005859374999997,351,43
352,20,1.943359375,0.10048828124999999,352,14
353,19,1.943359375,0.10048828124999999,353,14
354,20,1.310546875,0.10048828124999999,354,14
355,20,1.943359375,0.5475585937499999,355,44
356,20,1.310546875,0.5475585937499999,356,39
357,19,1.943359375,0.5475585937499999,357,35
358,19,1.310546875,0.10048828124999999,358,19
359,19,1.310546875,0.5475585937499999,359,63
360,16,1.193359375,0.36298828125,360,21
361,30,1.193359375,0.36298828125,361,28
362,16,1.560546875,0.36298828125,362,23
363,16,1.193359375,0.63505859375,363,141
364,16,1.560546875,0.63505859375,364,324
365,30,1.193359375,0.63505859375,365,364
366,30,1.560546875,0.36298828125,366,26
367,30,1.560546875,0.63505859375,367,444
368,31,2.193359375,0.012988281249999999,368,18
369,15,2.193359375,0.012988281249999999,369,11
370,31,2.560546875,0.012988281249999999,370,18
371,31,2.193359375,0.28505859375,371,26
372,31,2.560546875,0.28505859375,372,21
373,15,2.193359375,0.28505859375,373,21
374,15,2.560546875,0.012988281249999999,374,12
375,15,2.560546875,0.28505859375,375,21
376,39,1.693359375,0.53798828125,376,84
377,37,1.693359375,0.53798828125,377,78
378,39,2.060546875,0.53798828125,378,93
379,39,1.693359375,0.11005859374999999,379,25
380,39,2.060546875,0.11005859374999999,380,20
381,37,1.693359375,0.11005859374999999,381,25
382,37,2.060546875,0.53798828125,382,103
383,37,2.060546875,0.11005859374999999,383,24
384,24,2.693359375,0.18798828125,384,19
385,22,2.693359375,0.18798828125,385,18
386,24,1.060546875,0.18798828125,386,20
387,24,2.693359375,0.46005859374999997,387,50
388,24,1.060546875,0.46005859374999997,388,60
389,22,2.693359375,0.46005859374999997,389,66
390,22,1.060546875,0.18798828125,390,18
391,22,1.060546875,0.46005859374999997,391,28
392,20,1.943359375,0.10048828124999999,392,16
393,19,1.943359375,0.10048828124999999,393,16
394,20,1.310546875,0.10048828124999999,394,18
395,20,1.943359375,0.5475585937499999,395,50
396,20,1.310546875,0.5475585937499999,396,78
397,19,1.943359375,0.5475585937499999,397,145
398,19,1.310546875,0.10048828124999999,398,16
399,19,1.310546875,0.5475585937499999,399,31
